generation; best; average; worst
320; 0.40796; 0.308209; 0.238806
321; 0.358209; 0.311692; 0.268657
322; 0.333333; 0.293035; 0.218905
323; 0.373134; 0.305224; 0.243781
324; 0.348259; 0.297015; 0.253731
325; 0.358209; 0.30398; 0.243781
326; 0.358209; 0.287562; 0.21393
327; 0.383085; 0.298756; 0.238806
328; 0.38806; 0.310448; 0.253731
329; 0.383085; 0.313682; 0.268657
330; 0.353234; 0.300249; 0.243781
331; 0.383085; 0.306965; 0.258706
332; 0.353234; 0.306219; 0.258706
333; 0.368159; 0.302239; 0.228856
334; 0.383085; 0.307214; 0.238806
335; 0.353234; 0.302239; 0.248756
336; 0.39801; 0.329602; 0.273632
337; 0.348259; 0.303731; 0.243781
338; 0.363184; 0.30995; 0.248756
339; 0.348259; 0.309204; 0.258706
340; 0.383085; 0.300498; 0.258706
341; 0.358209; 0.304975; 0.248756
342; 0.373134; 0.295522; 0.248756
343; 0.358209; 0.310697; 0.243781
344; 0.368159; 0.307711; 0.233831
345; 0.39801; 0.304229; 0.253731
346; 0.363184; 0.297761; 0.21393
347; 0.363184; 0.313433; 0.258706
348; 0.358209; 0.298756; 0.253731
349; 0.343284; 0.300995; 0.243781
350; 0.383085; 0.298259; 0.228856
351; 0.368159; 0.308209; 0.258706
352; 0.348259; 0.301244; 0.223881
353; 0.358209; 0.299005; 0.258706
354; 0.358209; 0.306965; 0.253731
355; 0.39801; 0.318905; 0.258706
356; 0.343284; 0.302239; 0.233831
357; 0.348259; 0.306965; 0.263682
358; 0.353234; 0.29602; 0.223881
359; 0.353234; 0.314428; 0.263682
360; 0.358209; 0.295771; 0.248756
