generation; best; average; worst
281; 0.261477; 0.233533; 0.201597
282; 0.279441; 0.246108; 0.169661
283; 0.293413; 0.257884; 0.229541
284; 0.287425; 0.238323; 0.199601
285; 0.291417; 0.254092; 0.223553
286; 0.299401; 0.256487; 0.215569
287; 0.281437; 0.246108; 0.187625
288; 0.281437; 0.253094; 0.177645
289; 0.291417; 0.256687; 0.221557
290; 0.277445; 0.239721; 0.207585
291; 0.299401; 0.254691; 0.223553
292; 0.281437; 0.241916; 0.215569
293; 0.267465; 0.23513; 0.179641
294; 0.303393; 0.236128; 0.203593
295; 0.269461; 0.235928; 0.145709
296; 0.283433; 0.253493; 0.201597
297; 0.257485; 0.230539; 0.183633
298; 0.257485; 0.234531; 0.213573
299; 0.279441; 0.243313; 0.181637
300; 0.277445; 0.225549; 0.181637
301; 0.263473; 0.24012; 0.189621
302; 0.285429; 0.250299; 0.207585
303; 0.289421; 0.243513; 0.205589
304; 0.267465; 0.237725; 0.199601
305; 0.283433; 0.249501; 0.203593
306; 0.271457; 0.247904; 0.219561
307; 0.285429; 0.254691; 0.211577
308; 0.301397; 0.243313; 0.207585
309; 0.297405; 0.256487; 0.209581
310; 0.293413; 0.251098; 0.179641
311; 0.297405; 0.248703; 0.213573
312; 0.271457; 0.238723; 0.195609
313; 0.301397; 0.267665; 0.241517
314; 0.301397; 0.263273; 0.215569
315; 0.295409; 0.247305; 0.185629
316; 0.269461; 0.235329; 0.191617
317; 0.271457; 0.228343; 0.195609
318; 0.271457; 0.227944; 0.205589
319; 0.267465; 0.238523; 0.209581
320; 0.259481; 0.235729; 0.197605
321; 0.275449; 0.239122; 0.199601
322; 0.273453; 0.243114; 0.203593
323; 0.281437; 0.251497; 0.241517
324; 0.315369; 0.24491; 0.211577
325; 0.275449; 0.247705; 0.229541
326; 0.279441; 0.233333; 0.213573
327; 0.307385; 0.259481; 0.225549
328; 0.265469; 0.246906; 0.209581
329; 0.319361; 0.257884; 0.223553
330; 0.271457; 0.242315; 0.195609
331; 0.287425; 0.245309; 0.209581
332; 0.281437; 0.245509; 0.211577
333; 0.281437; 0.240918; 0.191617
334; 0.293413; 0.246906; 0.217565
335; 0.275449; 0.250499; 0.217565
336; 0.297405; 0.247305; 0.213573
337; 0.303393; 0.248303; 0.193613
338; 0.315369; 0.241916; 0.197605
339; 0.277445; 0.259082; 0.239521
340; 0.287425; 0.253094; 0.231537
341; 0.287425; 0.25509; 0.219561
342; 0.307385; 0.260878; 0.231537
343; 0.299401; 0.260279; 0.201597
344; 0.285429; 0.257884; 0.231537
345; 0.267465; 0.247505; 0.227545
346; 0.291417; 0.261078; 0.231537
347; 0.289421; 0.260878; 0.223553
348; 0.277445; 0.251098; 0.227545
349; 0.273453; 0.255489; 0.223553
350; 0.275449; 0.248902; 0.211577
351; 0.293413; 0.243912; 0.185629
352; 0.281437; 0.238523; 0.179641
353; 0.285429; 0.253892; 0.235529
354; 0.281437; 0.246108; 0.195609
355; 0.279441; 0.242116; 0.223553
356; 0.275449; 0.241916; 0.219561
357; 0.283433; 0.254491; 0.217565
358; 0.277445; 0.258283; 0.235529
359; 0.303393; 0.245908; 0.205589
360; 0.295409; 0.268064; 0.225549
361; 0.283433; 0.2499; 0.213573
362; 0.297405; 0.257485; 0.239521
363; 0.299401; 0.250699; 0.213573
364; 0.293413; 0.256886; 0.219561
365; 0.283433; 0.258483; 0.215569
366; 0.287425; 0.244112; 0.203593
367; 0.287425; 0.248703; 0.219561
368; 0.287425; 0.257884; 0.217565
369; 0.303393; 0.241916; 0.175649
370; 0.275449; 0.239521; 0.197605
371; 0.275449; 0.241118; 0.201597
372; 0.279441; 0.256088; 0.237525
373; 0.275449; 0.251697; 0.219561
374; 0.293413; 0.263273; 0.243513
375; 0.265469; 0.246307; 0.215569
376; 0.299401; 0.249102; 0.203593
377; 0.251497; 0.231138; 0.185629
378; 0.265469; 0.240719; 0.213573
379; 0.267465; 0.243912; 0.207585
380; 0.281437; 0.250499; 0.209581
381; 0.273453; 0.247705; 0.209581
382; 0.287425; 0.262475; 0.223553
383; 0.259481; 0.243713; 0.229541
384; 0.283433; 0.244711; 0.207585
385; 0.265469; 0.247505; 0.225549
386; 0.269461; 0.241717; 0.201597
387; 0.273453; 0.249301; 0.213573
388; 0.281437; 0.247505; 0.229541
389; 0.263473; 0.243912; 0.213573
390; 0.275449; 0.225749; 0.191617
391; 0.273453; 0.244711; 0.211577
392; 0.261477; 0.243513; 0.217565
393; 0.305389; 0.248104; 0.199601
394; 0.273453; 0.240918; 0.209581
395; 0.265469; 0.239721; 0.189621
396; 0.289421; 0.2501; 0.201597
397; 0.277445; 0.25509; 0.223553
398; 0.315369; 0.24012; 0.191617
399; 0.275449; 0.244711; 0.195609
400; 0.295409; 0.236527; 0.197605
401; 0.271457; 0.244711; 0.211577
402; 0.277445; 0.241717; 0.213573
403; 0.277445; 0.242515; 0.201597
404; 0.303393; 0.249301; 0.201597
405; 0.273453; 0.238922; 0.217565
406; 0.277445; 0.254291; 0.225549
407; 0.295409; 0.258882; 0.223553
408; 0.299401; 0.255289; 0.237525
409; 0.279441; 0.248503; 0.219561
410; 0.309381; 0.257285; 0.219561
411; 0.297405; 0.251697; 0.207585
412; 0.297405; 0.260679; 0.229541
413; 0.269461; 0.247505; 0.189621
414; 0.289421; 0.243713; 0.201597
415; 0.271457; 0.238523; 0.213573
416; 0.297405; 0.251497; 0.203593
417; 0.303393; 0.253094; 0.191617
418; 0.285429; 0.257285; 0.207585
419; 0.279441; 0.257285; 0.217565
420; 0.283433; 0.255489; 0.223553
421; 0.279441; 0.247505; 0.227545
422; 0.281437; 0.2499; 0.201597
423; 0.289421; 0.244311; 0.181637
424; 0.281437; 0.243313; 0.215569
425; 0.305389; 0.253094; 0.221557
426; 0.295409; 0.254092; 0.217565
427; 0.293413; 0.271058; 0.247505
428; 0.279441; 0.251297; 0.217565
429; 0.291417; 0.261477; 0.227545
430; 0.299401; 0.262076; 0.201597
431; 0.327345; 0.259681; 0.225549
432; 0.281437; 0.254291; 0.199601
433; 0.299401; 0.266267; 0.245509
434; 0.291417; 0.260479; 0.235529
435; 0.273453; 0.247305; 0.231537
436; 0.293413; 0.259082; 0.225549
437; 0.305389; 0.277046; 0.225549
438; 0.275449; 0.250499; 0.225549
439; 0.293413; 0.264271; 0.225549
440; 0.271457; 0.253094; 0.225549
441; 0.279441; 0.257285; 0.213573
442; 0.273453; 0.256088; 0.243513
443; 0.287425; 0.263074; 0.243513
444; 0.293413; 0.266667; 0.237525
445; 0.297405; 0.265868; 0.243513
446; 0.291417; 0.256088; 0.233533
447; 0.291417; 0.243313; 0.211577
448; 0.265469; 0.248303; 0.235529
449; 0.285429; 0.260479; 0.233533
450; 0.283433; 0.263074; 0.227545
451; 0.289421; 0.24012; 0.203593
452; 0.285429; 0.254491; 0.211577
453; 0.293413; 0.262874; 0.233533
454; 0.295409; 0.263273; 0.237525
455; 0.307385; 0.239321; 0.193613
456; 0.243513; 0.226946; 0.197605
457; 0.291417; 0.243114; 0.187625
458; 0.277445; 0.2499; 0.217565
459; 0.277445; 0.249701; 0.217565
460; 0.291417; 0.247106; 0.187625
461; 0.277445; 0.243513; 0.209581
462; 0.283433; 0.249301; 0.207585
463; 0.281437; 0.258882; 0.201597
464; 0.305389; 0.25509; 0.219561
465; 0.261477; 0.231138; 0.175649
466; 0.263473; 0.248303; 0.213573
467; 0.287425; 0.246707; 0.217565
468; 0.267465; 0.243313; 0.203593
469; 0.283433; 0.265269; 0.219561
